,Kevin,Nicolas,Sara
Kevin,1.0,0.0015503875968992248,0.0006821282401091405
Nicolas,0.0015503875968992248,1.0,0.0006112469437652812
Sara,0.0006821282401091405,0.0006112469437652812,1.0
